,borough,ntaname,food_scrap_drop_off_site,location,hosted_by,open_months,operation_day_hours,website,borocd,councildist,latitude,longitude,precinct,object_id,location_point,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,notes,ct2010,bbl,bin
0,Staten Island,Grasmere-Arrochar-South Beach-Dongan Hills,South Beach,"21 Robin Road, Staten Island NY",Snug Harbor Youth,Year Round,Friday (Start Time: 1:30 PM - End Time:  4:30 PM),snug-harbor.org,502,50,40.595579,-74.062991,122,3842,"{'type': 'Point', 'coordinates': [-74.062991, 40.595579]}",1.0,14.0,76.0,10692.0,30.0,,,,
1,Manhattan,Inwood,SE Corner of Broadway & Academy Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,112,10,,,34,3573,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
2,Brooklyn,Park Slope,Old Stone House Brooklyn,"336 3rd St, Brooklyn, NY 11215",Old Stone House Brooklyn,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),,306,39,40.6727118,-73.984731,78,3555,"{'type': 'Point', 'coordinates': [-73.984731, 40.6727118]}",2.0,27.0,50.0,17617.0,14.0,,,,
3,Manhattan,East Harlem (North),SE Corner of Pleasant Avenue & E 116 Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,111,8,,,25,3438,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
4,Queens,Corona,Malcolm X FSDO,"111-26 Northern Blvd, Flushing, NY 11368",NYC Compost Project Hosted by Big Reuse,Year Round,Tuesdays (Start Time: 12:00 PM - End Time:  2:00 PM),,404,21,40.7496855,-73.8630721,110,3388,"{'type': 'Point', 'coordinates': [-73.8630721, 40.7496855]}",3.0,21.0,68.0,14510.0,66.0,,,,
5,Queens,Astoria (North)-Ditmars-Steinway,Astoria Pug: 41st Street,Ditmars Boulevard and 41st Street,Astoria Pug,Year Round,Mondays (Start Time: 8:00 AM - End Time:  2:00 PM),https://www.instagram.com/astoriapug/?hl=en,401,22,40.7724122,-73.9053388,114,3350,"{'type': 'Point', 'coordinates': [-73.9053388, 40.7724122]}",3.0,4.0,72.0,16862.0,39.0,"Not accepted: meat, bones, or dairy",119.0,,
6,Bronx,Norwood,SE Corner of Kings College Place & Gun Hill Rd.,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,207,11,,,52,3773,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
7,Brooklyn,Bedford-Stuyvesant (East),NW Corner of Malcolm X Boulevard & Bainbridge Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,303,36,,,81,3477,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
8,Queens,Astoria (Central),Astoria Pug: Broadway,"32-11 31st St, Queens, NY 11106",Astoria Pug,Year Round,Saturdays (Start Time: 9:00 AM - End Time:  3:00 PM),https://www.instagram.com/astoriapug/?hl=en,401,22,40.761472,-73.925611,114,3304,"{'type': 'Point', 'coordinates': [-73.925611, 40.761472]}",3.0,4.0,72.0,16863.0,39.0,"Not accepted: meat, bones, or dairy",,,
9,Bronx,Mount Eden-Claremont (West),SE Corner of Eastburn Avenue & East 174th Street,SE Eastburn Avenue & East 174th Street,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,204,15,40.84471862,-73.90847526,44,3704,"{'type': 'Point', 'coordinates': [-73.90847526, 40.84471862]}",5.0,22.0,27.0,10935.0,50.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
